vendor_id,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd,dropoff_longitude,dropoff_latitude,fare_amount,trip_time,year,month,day,day_of_week,is_weekend,hour,h_distance
1,1,1.5,-73.989,40.764,1,0,-74.003,40.752,10.0,751,2016,5,25,4,0,9,1.8471861808232284
1,1,1.5,-73.988,40.779,1,0,-73.985,40.76,7.5,422,2016,5,25,4,0,6,2.176867484176227
1,1,1.5,-73.987,40.726,1,0,-73.976,40.744,9.0,629,2016,1,21,5,0,12,2.21576353525948
1,1,1.5,-73.985,40.739,1,0,-73.976,40.755,8.0,484,2016,5,10,3,0,21,1.9098125991293955
1,1,1.5,-73.985,40.747,1,0,-73.982,40.761,7.0,448,2016,1,31,1,1,12,1.6092273284100647
1,1,1.5,-73.983,40.732,1,0,-74.005,40.729,9.0,638,2016,6,3,6,0,19,1.88515123888371
1,1,1.5,-73.982,40.758,1,0,-73.966,40.772,11.5,1041,2016,5,17,3,0,11,2.074014846548952
1,1,1.5,-73.981,40.774,1,0,-73.965,40.763,12.0,1107,2016,5,11,4,0,17,1.8346551436212968
1,1,1.5,-73.98,40.755,1,0,-73.97,40.763,10.5,899,2016,6,3,6,0,10,1.301787544684338
1,1,1.5,-73.979,40.762,1,0,-73.993,40.755,10.0,822,2016,5,17,3,0,22,1.4167547894750383
1,1,1.5,-73.976,40.744,1,0,-73.991,40.725,9.0,679,2016,5,11,4,0,19,2.4896904266189135
1,1,1.5,-73.974,40.751,1,0,-73.974,40.762,11.5,1041,2016,5,10,3,0,7,1.202082195010293
1,1,1.5,-73.971,40.761,1,0,-73.956,40.778,8.0,467,2016,5,15,1,1,18,2.29635532791115
1,1,1.5,-73.969,40.764,1,0,-73.982,40.747,8.5,661,2016,5,14,7,1,17,2.2033296140570338
1,1,1.5,-73.967,40.681,1,0,-73.953,40.672,7.0,326,2016,6,4,7,1,0,1.601605597744664
1,1,1.5,-73.966,40.763,1,0,-73.951,40.783,6.5,316,2016,1,31,1,1,11,2.5270392582967816
1,1,1.5,-73.964,40.757,1,0,-73.953,40.776,7.5,447,2016,5,21,7,1,12,2.2711094719741793
1,1,1.5,-73.962,40.763,1,0,-73.983,40.76,8.5,601,2016,5,15,1,1,14,1.7881934760844993
1,1,1.5,-73.958,40.76,1,0,-73.977,40.75,11.0,919,2016,6,3,6,0,12,1.9386914982973567
1,1,1.5,-73.954,40.744,1,0,-73.935,40.755,8.0,507,2016,1,20,4,0,23,1.98598399354168
1,1,1.5,-73.954,40.77,1,0,-73.954,40.786,7.5,464,2016,1,21,5,0,8,1.791979700541219
1,1,1.5,-73.954,40.782,1,0,-73.977,40.788,9.5,699,2016,5,25,4,0,11,2.056404404460795
1,1,1.6,-74.008,40.739,1,0,-73.991,40.756,11.0,885,2016,5,25,4,0,7,2.382793655074541
1,1,1.6,-74.008,40.741,1,0,-73.985,40.728,9.5,718,2016,1,31,1,1,12,2.3814690486400343
1,1,1.6,-74.007,40.731,1,0,-73.983,40.722,9.0,633,2016,5,11,4,0,17,2.203652539767722
1,1,1.6,-74.006,40.744,1,0,-73.991,40.755,7.5,409,2016,5,20,6,0,23,1.8120483337493414
1,1,1.6,-74.004,40.722,1,0,-74.016,40.709,8.5,587,2016,5,14,7,1,20,1.8200897657726132
1,1,1.6,-74.003,40.733,1,0,-74.004,40.748,7.0,401,2016,5,15,1,1,1,1.585178942406751
1,1,1.6,-74.003,40.749,1,0,-73.989,40.757,17.0,1717,2016,5,25,4,0,18,1.445074805125581
1,1,1.6,-73.994,40.728,1,0,-74.008,40.74,8.5,664,2016,5,10,3,0,19,1.7946373515740282
1,1,1.6,-73.993,40.753,1,0,-73.994,40.736,9.5,719,2016,1,31,1,1,17,1.8972633865154902
1,1,1.6,-73.992,40.749,1,0,-73.976,40.763,7.5,494,2016,5,21,7,1,9,2.055663383469013
1,1,1.6,-73.99,40.73,1,0,-74.009,40.719,10.0,792,2016,5,10,3,0,20,2.0096629998892266
1,1,1.6,-73.99,40.773,1,0,-73.973,40.79,9.0,721,2016,5,16,2,0,15,2.30107967727272
1,1,1.6,-73.988,40.738,1,1,-74.007,40.752,12.5,1136,2016,1,20,4,0,9,2.17713637859504
1,1,1.6,-73.987,40.722,1,0,-73.982,40.711,8.0,452,2016,5,21,7,1,20,1.2648577314192162
1,1,1.6,-73.985,40.732,1,0,-73.991,40.749,12.5,1102,2016,1,20,4,0,17,1.9629538941912386
1,1,1.6,-73.982,40.775,1,0,-73.967,40.789,10.0,797,2016,5,17,3,0,11,2.005857495172163
1,1,1.6,-73.981,40.745,1,0,-73.984,40.727,8.0,533,2016,6,4,7,1,13,2.0371924274102318
1,1,1.6,-73.98,40.736,1,0,-73.991,40.719,8.5,571,2016,5,16,2,0,22,2.131455032243915
1,1,1.6,-73.98,40.778,1,0,-73.957,40.774,11.0,899,2016,5,17,3,0,14,1.9596091132684812
1,1,1.6,-73.978,40.749,1,0,-73.981,40.731,7.5,499,2016,5,15,1,1,11,2.031780358900392
1,1,1.6,-73.978,40.773,1,0,-73.976,40.757,10.0,794,2016,6,3,6,0,8,1.8281473415587806
1,1,1.6,-73.978,40.787,1,0,-73.983,40.764,8.5,519,2016,6,4,7,1,10,2.5500162772396937
1,1,1.6,-73.977,40.75,1,0,-73.976,40.733,10.0,801,2016,5,10,3,0,22,1.8924386456714417
1,1,1.6,-73.977,40.757,1,0,-73.958,40.767,8.0,540,2016,5,17,3,0,20,1.977909666282544
1,1,1.6,-73.977,40.758,1,0,-73.993,40.738,9.0,650,2016,1,31,1,1,17,2.585210229462941
1,1,1.6,-73.974,40.748,1,0,-73.991,40.735,9.0,697,2016,6,3,6,0,20,2.044334414557196
1,1,1.6,-73.974,40.763,1,0,-73.958,40.772,7.5,433,2016,5,14,7,1,13,1.691097504412859
1,1,1.6,-73.972,40.746,1,0,-73.974,40.763,7.0,352,2016,5,21,7,1,8,1.8398303247251446
1,1,1.6,-73.972,40.759,1,0,-73.991,40.75,9.5,768,2016,5,17,3,0,21,1.8573369135465478
1,1,1.6,-73.971,40.764,1,1,-73.989,40.759,11.0,916,2016,1,31,1,1,16,1.591756523672944
1,1,1.6,-73.968,40.769,1,0,-73.952,40.79,6.5,305,2016,6,4,7,1,11,2.6423819199067036
1,1,1.6,-73.966,40.771,1,0,-73.978,40.786,10.5,816,2016,5,16,2,0,17,1.9970188585236122
